water_depth_m,u_mid_m,Ky_N_per_m,Ky_kN_per_m
160.2,-51.5,1058315.733,1058.315733
160.2,-50.5,1065488.956,1065.488956
160.2,-49.5,1072847.727,1072.847727
160.2,-48.5,1080399.314,1080.399314
160.2,-47.5,1088151.276,1088.151276
160.2,-46.5,1096111.457,1096.111457
160.2,-45.5,1104287.985,1104.287985
160.2,-44.5,1112689.252,1112.689252
160.2,-43.5,1121323.898,1121.323898
160.2,-42.5,1130200.777,1130.200777
160.2,-41.5,1139328.916,1139.328916
160.2,-40.5,1148717.454,1148.717454
160.2,-39.5,1158375.564,1158.375564
160.2,-38.5,1168312.349,1168.312349
160.2,-37.5,1178536.703,1178.536703
160.2,-36.5,1189057.137,1189.057137
160.2,-35.5,1199881.553,1199.881553
160.2,-34.5,1211016.947,1211.016947
160.2,-33.5,1222469.938,1222.469938
160.2,-32.5,1234240.9,1234.2409
160.2,-31.5,1246336.849,1246.336849
160.2,-30.5,1258752.635,1258.752635
160.2,-29.5,1271483.58,1271.48358
160.2,-28.5,1284518.678,1284.518678
160.2,-27.5,1297839.993,1297.839993
160.2,-26.5,1311420.731,1311.420731
160.2,-25.5,1325222.572,1325.222572
160.2,-24.5,1339192.629,1339.192629
160.2,-23.5,1353259.478,1353.259478
160.2,-22.5,1367328.23,1367.32823
160.2,-21.5,1381274.7,1381.2747
160.2,-20.5,1394938.213,1394.938213
160.2,-19.5,1408113.343,1408.113343
160.2,-18.5,1420540.639,1420.540639
160.2,-17.5,1431896.839,1431.896839
160.2,-16.5,1441785.701,1441.785701
160.2,-15.5,1449731.363,1449.731363
160.2,-14.5,1455177.437,1455.177437
160.2,-13.5,1457496.651,1457.496651
160.2,-12.5,1456017.334,1456.017334
160.2,-11.5,1450074.571,1450.074571
160.2,-10.5,1439092.352,1439.092352
160.2,-9.5,1422698.311,1422.698311
160.2,-8.5,1400865.428,1400.865428
160.2,-7.5,1374052.532,1374.052532
160.2,-6.5,1343311.383,1343.311383
160.2,-5.5,1310309.766,1310.309766
160.2,-4.5,1277238.988,1277.238988
160.2,-3.5,1246602.299,1246.602299
160.2,-2.5,1220919.763,1220.919763
160.2,-1.5,1202411.669,1202.411669
160.2,-0.5,1192721.872,1192.721872
160.2,0.5,1192721.872,1192.721872
160.2,1.5,1202411.669,1202.411669
160.2,2.5,1220919.763,1220.919763
160.2,3.5,1246602.299,1246.602299
160.2,4.5,1277238.993,1277.238993
160.2,5.5,1310309.76,1310.30976
160.2,6.5,1343311.387,1343.311387
160.2,7.5,1374052.528,1374.052528
160.2,8.5,1400865.429,1400.865429
160.2,9.5,1422698.403,1422.698403
160.2,10.5,1439092.26,1439.09226
160.2,11.5,1450074.571,1450.074571
160.2,12.5,1456017.334,1456.017334
160.2,13.5,1457496.645,1457.496645
160.2,14.5,1455177.443,1455.177443
160.2,15.5,1449731.363,1449.731363
160.2,16.5,1441785.701,1441.785701
160.2,17.5,1431896.839,1431.896839
160.2,18.5,1420540.639,1420.540639
160.2,19.5,1408113.343,1408.113343
160.2,20.5,1394938.213,1394.938213
160.2,21.5,1381274.703,1381.274703
160.2,22.5,1367328.231,1367.328231
160.2,23.5,1353259.471,1353.259471
160.2,24.5,1339192.632,1339.192632
160.2,25.5,1325222.572,1325.222572
160.2,26.5,1311420.731,1311.420731
160.2,27.5,1297840.001,1297.840001
160.2,28.5,1284518.67,1284.51867
160.2,29.5,1271483.58,1271.48358
160.2,30.5,1258752.643,1258.752643
160.2,31.5,1246336.84,1246.33684
160.2,32.5,1234241.8,1234.2418
160.2,33.5,1222469.039,1222.469039
160.2,34.5,1211016.946,1211.016946
160.2,35.5,1199881.552,1199.881552
160.2,36.5,1189057.139,1189.057139
160.2,37.5,1178536.703,1178.536703
160.2,38.5,1168312.349,1168.312349
160.2,39.5,1158375.564,1158.375564
160.2,40.5,1148717.454,1148.717454
160.2,41.5,1139328.916,1139.328916
160.2,42.5,1130200.777,1130.200777
160.2,43.5,1121323.88,1121.32388
160.2,44.5,1112689.269,1112.689269
160.2,45.5,1104287.985,1104.287985
160.2,46.5,1096111.457,1096.111457
160.2,47.5,1088150.838,1088.150838
160.2,48.5,1080399.751,1080.399751
160.2,49.5,1072847.727,1072.847727
160.2,50.5,1065488.955,1065.488955
160.2,51.5,1058315.734,1058.315734
160.2,52.5,1051321.081,1051.321081
160.2,53.5,1044498.307,1044.498307
160.2,54.5,1037840.997,1037.840997
160.2,55.5,1031343.013,1031.343013
160.2,56.5,1024998.477,1024.998477
160.2,57.5,1018801.77,1018.80177
160.2,58.5,1012747.519,1012.747519
160.2,59.5,1006830.559,1006.830559
160.2,60.5,1001046.054,1001.046054
160.2,61.5,995389.2061,995.3892061
160.2,62.5,989855.5987,989.8555987
160.2,63.5,984440.866,984.440866
