water_depth_m,u_mid_m,Kz_N_per_m,Kz_kN_per_m
160.9,-21.5,78206.86395174585,78.20686395174585
160.9,-20.5,78658.94547077369,78.65894547077369
160.9,-19.5,79094.75674946756,79.09475674946756
160.9,-18.5,79514.21951567949,79.51421951567949
160.9,-17.5,79917.2795120192,79.9172795120192
160.9,-16.5,80303.9066481264,80.3039066481264
160.9,-15.5,80674.09503248332,80.67409503248332
160.9,-14.5,81027.86288332548,81.02786288332548
160.9,-13.5,81365.25232220591,81.3652523222059
160.9,-12.5,81686.32905108847,81.68632905108846
160.9,-11.5,81991.18191880043,81.99118191880044
160.9,-10.5,82279.92238030763,82.27992238030762
160.9,-9.5,82552.68385567507,82.55268385567507
160.9,-8.5,82809.62099523959,82.80962099523958
160.9,-7.5,83050.90885786893,83.05090885786893
160.9,-6.5,83276.74201142888,83.27674201142888
160.9,-5.5,83487.33356256613,83.48733356256612
160.9,-4.5,83682.91412627298,83.68291412627298
160.9,-3.5,83863.73074316971,83.86373074316971
160.9,-2.5,84030.04575413292,84.03004575413293
160.9,-1.5,84182.13564130572,84.18213564130572
160.9,-0.5,84320.28984550624,84.32028984550624
160.9,0.5,84444.80956740255,84.44480956740256
160.9,1.5,84556.00656240228,84.55600656240229
160.9,2.5,84654.20193663488,84.65420193663488
160.9,3.5,84739.72495239966,84.73972495239965
160.9,4.5,84812.91184927542,84.81291184927542
160.9,5.5,84874.10468942551,84.87410468942551
160.9,6.5,84923.65023047259,84.92365023047259
160.9,7.5,84961.8988335617,84.9618988335617
160.9,8.5,84989.2034111425,84.9892034111425
160.9,9.5,85005.91841646658,85.00591841646659
161.0,-24.5,76716.88013261776,76.71688013261776
161.0,-23.5,77216.7307087416,77.2167307087416
161.0,-22.5,77700.7107124251,77.7007107124251
161.0,-21.5,78168.67212612875,78.16867212612874
161.0,-20.5,78620.48973383411,78.6204897338341
161.0,-19.5,79056.06163021136,79.05606163021136
161.0,-18.5,79475.30961102268,79.47530961102268
161.0,-17.5,79878.17944475588,79.87817944475587
161.0,-16.5,80264.64102468936,80.26464102468937
161.0,-15.5,80634.68840070958,80.63468840070958
161.0,-14.5,80988.33969044137,80.98833969044136
161.0,-13.5,81325.63687323946,81.32563687323946
161.0,-12.5,81646.64546791509,81.64664546791509
161.0,-11.5,81951.45410001733,81.95145410001733
161.0,-10.5,82240.17396212714,82.24017396212714
161.0,-9.5,82512.93817401274,82.51293817401275
161.0,-8.5,82769.90104916449,82.76990104916449
161.0,-7.5,83011.23727456764,83.01123727456763
161.0,-6.5,83237.14101282164,83.23714101282164
161.0,-5.5,83447.82493369868,83.44782493369868
161.0,-4.5,83643.51918559059,83.64351918559059
161.0,-3.5,83824.47031476445,83.82447031476444
161.0,-2.5,83990.94014203925,83.99094014203925
161.0,-1.5,84143.20460590236,84.14320460590235
161.0,-0.5,84281.55258206582,84.28155258206583
161.0,0.5,84406.28468681537,84.40628468681537
161.0,1.5,84517.71207408504,84.51771207408504
161.0,2.5,84616.15523362064,84.61615523362063
161.0,3.5,84701.94279859083,84.70194279859082
161.0,4.5,84775.41036883059,84.77541036883059
161.0,5.5,84836.89935823542,84.83689935823541
161.0,6.5,84886.75586967508,84.88675586967508
161.0,7.5,84925.32960503177,84.92532960503178
161.0,8.5,84952.9728148839,84.9529728148839
161.0,9.5,84970.0392898313,84.9700392898313
161.1,-24.5,76679.62591572986,76.67962591572986
161.1,-23.5,77179.13981372102,77.17913981372102
161.1,-22.5,77662.80721761487,77.66280721761487
161.1,-21.5,78130.48030051164,78.13048030051164
161.1,-20.5,78582.03399689453,78.58203399689454
161.1,-19.5,79017.36651095518,79.01736651095518
161.1,-18.5,79436.39970636586,79.43639970636586
161.1,-17.5,79839.07937749254,79.83907937749254
161.1,-16.5,80225.37540125233,80.22537540125232
161.1,-15.5,80595.28176893583,80.59528176893583
161.1,-14.5,80948.81649755726,80.94881649755726
161.1,-13.5,81286.021424273,81.286021424273
161.1,-12.5,81606.9618847417,81.60696188474171
161.1,-11.5,81911.72628123422,81.91172628123422
161.1,-10.5,82200.42554394667,82.20042554394666
161.1,-9.5,82473.19249235041,82.4731924923504
161.1,-8.5,82730.18110308939,82.7301811030894
161.1,-7.5,82971.56569126635,82.97156569126635
161.1,-6.5,83197.54001421439,83.1975400142144
161.1,-5.5,83408.31630483124,83.40831630483125
161.1,-4.5,83604.12424490818,83.60412424490818
161.1,-3.5,83785.20988635917,83.78520988635917
161.1,-2.5,83951.83452994558,83.95183452994559
161.1,-1.5,84104.27357049899,84.10427357049899
161.1,-0.5,84242.81531862542,84.24281531862542
161.1,0.5,84367.7598062282,84.36775980622821
161.1,1.5,84479.41758576779,84.47941758576779
161.1,2.5,84578.1085306064,84.5781085306064
161.1,3.5,84664.160644782,84.664160644782
161.1,4.5,84737.90888838576,84.73790888838576
161.1,5.5,84799.6940270453,84.7996940270453
161.1,6.5,84849.86150887756,84.84986150887755
161.1,7.5,84888.76037650184,84.88876037650185
161.1,8.5,84916.74221862531,84.91674221862532
161.1,9.5,84934.16016319604,84.93416016319604
161.2,-24.5,76642.37169884195,76.64237169884194
161.2,-23.5,77141.54891870043,77.14154891870042
161.2,-22.5,77624.90372280462,77.62490372280462
161.2,-21.5,78092.28847489454,78.09228847489453
161.2,-20.5,78543.57825995496,78.54357825995496
161.2,-19.5,78978.67139169898,78.97867139169898
161.2,-18.5,79397.48980170905,79.39748980170904
161.2,-17.5,79799.97931022922,79.79997931022922
161.2,-16.5,80186.1097778153,80.1861097778153
161.2,-15.5,80555.87513716207,80.55587513716208
161.2,-14.5,80909.29330467315,80.90929330467314
161.2,-13.5,81246.40597530655,81.24640597530656
161.2,-12.5,81567.27830156831,81.56727830156831
161.2,-11.5,81871.99846245113,81.87199846245113
161.2,-10.5,82160.67712576617,82.16067712576617
161.2,-9.5,82433.44681068808,82.43344681068808
161.2,-8.5,82690.46115701429,82.69046115701428
161.2,-7.5,82931.89410796505,82.93189410796505
161.2,-6.5,83157.93901560715,83.15793901560714
161.2,-5.5,83368.80767596379,83.3688076759638
